fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220408 120840	-0.59866256663372	2567	1037	14	5	10127000	1
20220408 120924	-0.530215379651054	2035	391	11	5	9874000	2
20220408 121002	-0.234841089484689	4808	667	18	5	9285000	3
20220408 121038	-0.516308314929483	4122	1151	13	5	9332000	4
20220408 121110	-0.321861220017308	5629	1528	6	5	8657000	5
20220408 121148	-0.981117012142204	3993	1366	16	5	9319000	6
20220408 121221	-0.258539540406491	7746	1745	12	5	8135000	7
20220408 121258	-0.859410234654206	1987	341	9	5	9882000	8
20220408 121331	-0.393770043575205	7280	768	7	5	7974000	9
20220408 121409	-0.789642729835759	6438	572	15	5	8381000	10
20220408 121428	-0.140431267619715	578	192	3	5	8164000	11
20220408 121447	0.0911681791985757	6943	120	20	5	0	12
20220408 121520	-0.913624777678342	5466	1903	7	5	8639000	13
20220408 121556	-0.682939598072941	6536	586	15	5	8429000	14
20220408 121630	-0.296902677145166	4936	954	10	5	9145000	15
20220408 121654	-0.0245620992267503	4946	1631	5	5	8510000	16
20220408 121745	-0.692094776695978	1289	642	10	5	9533000	17
20220408 121827	-0.445423088158559	1894	942	20	5	9871000	18
20220408 121906	-0.730540486084868	3135	799	17	5	9686000	19
20220408 121927	-0.701003633035158	2441	464	3	5	8064000	20
20220408 122000	0.025580037404645	1949	972	16	5	0	21
20220408 122101	-0.585283009152477	1957	87	19	5	9250000	22
20220408 122149	-0.864452932133132	2139	1069	14	5	9953000	23
20220408 122239	-0.387021103393845	3168	382	17	5	9980000	24
20220408 122306	-0.164596119120093	4677	1938	3	5	7863000	25
20220408 122359	-0.999728788854628	781	390	11	5	9619000	26
20220408 122440	-0.328532940592149	3469	1495	20	5	9191000	27
20220408 122539	-0.471514624237333	895	446	15	5	9183000	28
20220408 122624	-0.342417993465732	4850	558	20	5	9285000	29
20220408 122710	-0.606361679814763	2684	1342	19	5	9007000	30
20220408 122824	-0.909280611779648	31	3	17	5	5684000	31
20220408 122900	-0.999994621323715	2973	1309	11	5	9168000	32
20220408 122932	-0.976676719870435	1287	518	6	5	9590000	33
20220408 123014	-0.555675038524898	2566	802	17	5	9944000	34
20220408 123059	-0.747966550279342	2642	727	13	5	10175000	35
20220408 123140	-0.636448559668705	3010	453	14	5	9902000	36
20220408 123213	-0.808720100188907	3955	1977	14	5	8747000	37
20220408 123254	-0.446164387155694	2390	810	14	5	10072000	38
20220408 123342	-0.947075639463808	2165	609	12	5	10193000	39
20220408 123424	-0.891321378618108	3853	760	13	5	9694000	40
20220408 123505	-0.69316786518592	2165	859	14	5	10082000	41
20220408 123544	-0.927791506859745	1739	818	10	5	9659000	42
20220408 123628	-0.99991190048909	2386	329	13	5	9934000	43
20220408 123711	-0.83475818400648	2177	508	12	5	10012000	44
20220408 123752	-0.438387409085262	2837	708	18	5	10222000	45
20220408 123821	-0.41301917510338	1107	1	6	5	8630000	46
20220408 123850	-0.999853512263783	5386	1	6	5	8112000	47
20220408 123919	-0.145107200865578	5671	1	5	5	7932000	48
20220408 123955	-0.379128057301296	4761	1082	17	5	9257000	49
20220408 124040	-0.426944180941398	2539	397	20	5	9808000	50
20220408 124121	-0.586972859182401	2100	713	13	5	10260000	51
20220408 124209	-0.348048182843941	2220	713	18	5	10260000	52
20220408 124259	-0.344210750505139	3005	721	18	5	10077000	53
20220408 124344	-0.587803139020179	2295	1007	8	5	10245000	54
20220408 124442	-0.60760878728256	2342	849	11	5	10133000	55
20220408 124530	-0.41738885061022	2136	684	18	5	10257000	56
20220408 124606	-0.26033866938014	2141	1070	8	5	9953000	57
20220408 124643	-0.471824250334624	2217	1106	9	5	9697000	58
20220408 124726	-0.455368868863006	2268	634	18	5	10046000	59
20220408 124817	-0.374595346806815	1861	924	17	5	9731000	60
20220408 124901	-0.279928731447072	2426	373	8	5	9870000	61
20220408 124947	-0.305895745682843	2047	636	19	5	10189000	62
20220408 125025	-0.571798947635296	2691	732	8	5	10228000	63
20220408 125144	-0.32911199899908	2153	1	18	5	9275000	64
20220408 125237	-0.390914256112593	2297	722	19	5	10154000	65
20220408 125321	-0.981748782304369	2787	471	10	5	10044000	66
20220408 125350	-0.280931716579881	2175	752	5	5	10620000	67
20220408 125411	-0.261162988826815	2169	723	3	5	8044000	68
