fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220408 194623	1510	12	282	13	5	11423000	1
20220408 202947	1794	10	404	22	5	11560000	2
20220408 205236	1663	16	338	9	5	11812000	3
20220408 205601	427	2	225	38	5	9068000	4
20220408 220500	1305	23	438	33	5	10182000	5
20220408 224409	1083	8	171	44	5	10668000	6
20220409 005835	319	30	50	46	5	8262000	7
20220409 010422	790	3	215	20	5	9939000	8
20220409 022735	2354	20	120	23	5	10222000	9
20220409 025517	607	23	375	29	5	10878000	10
20220409 033013	1920	10	279	16	5	11548000	11
20220409 033724	1155	19	16	2	5	11331000	12
20220409 035016	245	14	156	39	5	10224000	13
20220409 092925	2257	26	446	5	5	11885000	14
