fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220501 231419	1532	24	177	18	5	33537000	1
20220502 003107	1445	13	284	39	5	34245000	2
20220502 005228	1026	26	104	12	5	33394000	3
20220502 023956	1755	18	351	37	5	33387000	4
20220502 044254	2489	22	139	28	5	33013000	5
20220502 045145	1708	7	230	5	5	34161000	6
20220502 051643	704	20	377	21	5	33356000	7
20220502 062028	2037	9	52	32	5	34249000	8
20220502 065705	525	17	424	43	5	33281000	9
20220502 065922	225	3	262	32	5	32312000	10
20220502 072554	276	30	27	50	5	30365000	11
20220502 073037	915	10	75	3	5	34099000	12
20220502 082326	2194	14	317	16	5	34155000	13
20220502 082840	598	6	459	10	5	34098000	14
20220502 085053	2258	2	475	47	5	29859000	15
20220502 094955	1296	27	215	24	5	33250000	16
20220502 102752	1135	11	205	23	5	34592000	17
20220502 103013	101	9	293	16	5	33797000	18
20220502 113339	1399	13	1	28	5	33550000	19
20220502 120509	1465	11	500	14	5	34688000	20
20220502 124338	1466	10	345	21	5	34464000	21
20220502 140112	2500	11	271	23	5	34220000	22
20220502 140652	1018	11	500	2	5	33988000	23
20220502 144927	1212	12	500	25	5	34166000	24
20220502 151831	1601	10	167	14	5	34501000	25
20220502 154352	1475	11	429	12	5	34694000	26
20220502 163813	1224	11	191	33	5	34005000	27
20220502 170443	1154	12	311	14	5	34614000	28
20220502 173527	1355	8	1	23	5	34784000	29
20220502 181129	1846	7	1	23	5	34438000	30
20220502 185321	1185	9	1	23	5	34496000	31
20220502 192339	1308	8	141	21	5	34306000	32
20220502 192611	460	6	1	6	5	33818000	33
20220502 195350	1349	11	301	16	5	34379000	34
20220502 202109	2042	9	496	12	5	34740000	35
20220502 204018	1043	13	203	12	5	34447000	36
20220502 210214	1615	10	500	11	5	34714000	37
20220502 212533	2067	8	1	11	5	34699000	38
20220502 215716	1364	8	111	26	5	34431000	39
20220502 223128	1835	12	453	13	5	34542000	40
20220502 224553	455	13	346	22	5	34227000	41
20220502 230630	1313	9	474	14	5	34481000	42
20220502 233357	2499	8	500	10	5	34781000	43
20220502 235735	2011	8	500	11	5	34832000	44
20220503 001243	684	16	493	13	5	34525000	45
20220503 004452	1371	17	12	13	5	32975000	46
20220503 004910	196	14	496	13	5	34527000	47
20220503 013600	1373	8	1	38	5	34139000	48
20220503 040303	2500	12	1	46	5	34068000	49
20220503 043124	2369	8	496	12	5	34759000	50
20220503 044906	2015	8	498	8	5	34731000	51
20220503 050257	1134	15	500	7	5	34736000	52
20220503 052717	1367	15	500	11	5	34631000	53
20220503 052809	102	16	500	2	5	33792000	54
20220503 061824	2251	8	1	24	5	34216000	55
20220503 063043	811	14	500	9	5	34871000	56
20220503 064250	794	12	500	10	5	34567000	57
20220503 064503	100	7	1	24	5	34034000	58
20220503 070705	987	14	500	14	5	34278000	59
20220503 071033	202	15	375	9	5	34367000	60
20220503 080257	2497	14	327	8	5	34634000	61
20220503 082855	1369	8	1	13	5	34144000	62
20220503 090402	2304	10	182	9	5	34732000	63
20220503 093031	2202	8	290	10	5	34794000	64
20220503 101027	2438	16	500	9	5	34589000	65
20220503 103324	2416	8	23	8	5	34655000	66
20220503 105302	1421	14	488	8	5	34851000	67
20220503 203340	2255	11	28	39	5	34261000	68
20220503 205150	2279	5	483	10	5	33934000	69
20220503 211513	1306	19	500	9	5	34888000	70
20220503 213434	1110	18	500	9	5	34836000	71
20220503 220036	1483	22	500	9	5	34566000	72
20220503 224613	2167	20	500	11	5	34516000	73
20220503 225635	604	20	500	9	5	34762000	74
20220503 231645	1634	20	500	6	5	35006000	75
20220503 233618	2149	20	500	3	5	35121000	76
20220503 234931	1679	21	500	2	5	34618000	77
20220504 001500	2493	19	500	4	5	34825000	78
20220504 003523	2180	20	318	3	5	34741000	79
20220504 005750	2089	20	500	4	5	34861000	80
20220504 011540	2308	19	500	2	5	34725000	81
20220504 014509	1285	8	448	23	5	34351000	82
20220504 020418	2500	20	500	3	5	35146000	83
20220504 023710	2493	20	500	7	5	34690000	84
20220504 025710	2497	25	500	3	5	35163000	85
20220504 031702	2431	28	491	3	5	35175000	86
20220504 032551	1129	27	500	3	5	35169000	87
20220504 034112	1961	27	500	3	5	35077000	88
20220504 034816	871	30	500	3	5	35122000	89
20220504 035740	810	28	500	6	5	34739000	90
20220504 035954	252	28	500	3	5	34473000	91
20220504 041034	1372	30	500	3	5	35110000	92
20220504 041943	1070	30	176	3	5	34506000	93
20220504 042833	1119	29	500	3	5	35234000	94
20220504 044537	2499	29	500	2	5	34725000	95
20220504 051325	2500	29	500	5	5	34782000	96
20220504 053418	2441	23	500	3	5	35082000	97
20220504 064836	2500	30	500	16	5	34080000	98
20220504 065937	1185	28	500	3	5	35240000	99
20220504 082914	1471	13	1	42	5	33895000	100
