fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220423 003326	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	290	TRUE	0.0169668071314227	0.658504417613149	3029	176	0.0359982484190065	10488000	1
20220423 003709	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	55	TRUE	0.116999611032195	0.488905072510242	5015	616	0.0135316933340315	13476000	2
20220423 004045	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	78	TRUE	0.147817374211038	0.344631631188095	5564	440	0.0322401841641598	11036000	3
20220423 004300	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	129	TRUE	0.0418402775826398	0.871182519523427	2276	661	0.0260675580405708	12374000	4
20220423 004641	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	18	TRUE	0.207120679184794	0.743728395076469	633	684	0.0295670934783023	9089000	5
20220423 005425	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	49	TRUE	0.178218220718554	0.628065816555172	2514	319	0.0413516185052382	9569000	6
20220423 005808	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	74	TRUE	0.195998972378555	0.902686775755137	6351	909	0.0223921413247202	12524000	7
20220423 010214	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	72	TRUE	0.0913215029017301	0.21815287928097	7739	948	0.0438394281164316	9032000	8
20220423 010845	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	99	TRUE	0.0541513068542117	0.799216275140643	1398	233	0.0237742361743585	12223000	9
20220423 012701	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	10	TRUE	0.232812587551423	0.25406632784754	29	471	0.0177263934989848	3129000	10
20220423 012737	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	29	TRUE	0.215131224391516	0.303329959288239	6642	96	0.0395259457848927	9747000	11
20220423 013124	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	18	TRUE	0.285168405580567	0.461052247164771	4004	529	0.0165082023411136	12515000	12
20220423 015636	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	244	TRUE	0.0311520876501454	0.388803742602468	1722	131	0.0200805529675563	13069000	13
20220423 020836	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	25	TRUE	0.167730879354058	0.975510783027858	1169	825	0.0464448189445344	8310000	14
20220423 020932	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	89	TRUE	0.0787775838018861	0.703336661215872	5646	300	0.0428340949816629	9215000	15
20220423 020953	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	14	TRUE	0.299185414269334	0.931308952551335	3955	749	0.010465697585217	11971000	16
20220423 021024	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	26	TRUE	0.249113227740629	0.522307383045554	7004	806	0.0482513958433022	7985000	17
20220423 021244	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	50	TRUE	0.139921629592427	0.580226258123294	7332	374	0.00977829655797298	12017000	18
20220423 021644	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	29	TRUE	0.267367797479499	0.83149223010987	4548	35	0.0345707290563344	10490000	19
20220423 022334	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	32	TRUE	0.109461231060559	0.418045512540266	3327	987	0.0276897825106668	11583000	20
20220423 024030	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	476	TRUE	0.010244709736989	0.455417723878136	4312	71	0.0161827278507891	13739000	21
20220423 025742	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	203	TRUE	0.0133448646821822	0.494235679427255	1998	236	0.0126379458427075	13345000	22
20220423 030959	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	783	TRUE	0.0115258483171654	0.414729179615069	6195	311	0.0112134025907772	12598000	23
20220423 031308	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	117	TRUE	0.0388259553394256	0.481805043078039	3917	194	0.0212325919984814	13201000	24
20220423 032108	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	359	TRUE	0.0100154552260417	0.855242013362721	5573	340	0.0118233265966965	12944000	25
20220423 032412	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	61	TRUE	0.110923546308948	0.47531858964127	4191	16	0.00850280090460375	11752000	26
20220423 082111	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	550	TRUE	0.0100183998870824	0.568232165795711	3838	571	0.0157367902095952	13745000	27
20220423 082255	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	23	TRUE	0.296319405781298	0.622461522827675	5909	642	0.0160385915061307	12343000	28
20220423 085851	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	461	TRUE	0.0102383044801428	0.739694518324302	2675	49	0.016862526158082	13652000	29
20220423 090112	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	33	TRUE	0.160786348563149	0.874804955009344	4652	630	0.0173798577639538	12740000	30
20220423 090510	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	98	TRUE	0.0514251134030374	0.558237592357618	4993	875	0.0148493543590178	13695000	31
20220423 090717	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	141	TRUE	0.0360572154471725	0.45823535587205	4604	510	0.0150327742742319	13715000	32
20220423 095021	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	484	TRUE	0.0100429557169086	0.479479503520079	3152	187	0.015517988671436	13708000	33
20220423 100033	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	509	TRUE	0.0101894392222698	0.504787427830248	4946	686	0.0168388340331737	13764000	34
20220423 101154	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	771	TRUE	0.0103019411122556	0.488769236088313	4422	723	0.0129134693268604	13405000	35
20220423 101253	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	75	TRUE	0.0751681428834659	0.590626268186273	5451	699	0.016654766719758	13641000	36
20220423 102717	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	501	TRUE	0.0100475143827462	0.576201992868702	4872	420	0.0160286832872807	13726000	37
20220423 102837	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	51	TRUE	0.124964114805445	0.411493212472951	5615	1024	0.0160214113905766	13396000	38
