fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220423 200338	0	0	0	1	auto	depthwise	256	0	1	0.259259497133316	0.416518872790039	5	16	0.0354977173104999	8	8681000	1
20220423 201423	0	0	0	1	auto	depthwise	256	0	1	0.0427255355989328	0.382048504762352	4	7	0.0182118010818764	109	12968000	2
20220423 202329	0	0	0	1	auto	depthwise	256	0	1	0.117007606170257	0.71500672839582	10	24	0.0240904826719391	23	11328000	3
20220423 203529	0	0	0	1	auto	depthwise	256	0	1	0.138583487936296	0.729544769711792	3	23	0.0386391552810286	29	6656000	4
20220423 204140	0	0	0	1	auto	depthwise	256	0	1	0.152564869560068	0.663283478589729	8	12	0.0286791712162085	19	9280000	5
20220423 204536	0	0	0	1	auto	depthwise	256	0	1	0.165637776640709	0.331565501261503	6	13	0.0431882488541305	15	7959000	6
20220423 211613	0	0	0	1	auto	depthwise	256	0	1	0.0250162926733028	0.555306940218434	1	17	0.00858983918684923	134	12603000	7
20220423 213256	0	0	0	1	auto	depthwise	256	0	1	0.0775976757028839	0.939583025174215	7	20	0.0339456432896744	38	9096000	8
20220423 213709	0	0	0	1	auto	depthwise	256	0	1	0.18799663232686	0.226206185845658	3	30	0.0107393165385777	15	10171000	9
20220423 214449	0	0	0	1	auto	depthwise	256	0	1	0.176620596683235	0.882914242073894	2	3	0.031881628309687	197	9801000	10
20220423 214836	0	0	0	1	auto	depthwise	256	0	1	0.247065514474758	0.623459093300626	7	7	0.0156660258488652	21	11827000	11
20220423 215739	0	0	0	1	auto	depthwise	256	0	1	0.104705154785886	0.815127831054852	4	9	0.0193711670004025	44	11731000	12
20220423 221000	0	0	0	1	auto	depthwise	256	0	1	0.0592646276798332	0.443413310367614	6	28	0.030181667834889	48	9945000	13
20220423 221421	0	0	0	1	auto	depthwise	256	0	1	0.225975466477103	0.311550229201093	1	25	0.0471445525972134	3	6476000	14
20220423 222423	0	0	0	1	auto	depthwise	256	0	1	0.228761256615049	0.976128086270765	9	27	0.0415154173300834	21	7559000	15
20220423 225413	0	0	0	1	auto	depthwise	256	0	1	0.0107849203885999	0.483595554623753	10	6	0.026876339049583	519	12347000	16
20220423 225615	0	0	0	1	auto	depthwise	256	0	1	0.299223318310804	0.57946300400421	4	4	0.0438009403194883	7	9254000	17
20220423 230239	0	0	0	1	auto	depthwise	256	0	1	0.285170353335328	0.796389946490526	0	19	0.0125185663026059	1	7566000	18
20220423 231536	0	0	0	1	auto	depthwise	256	0	1	0.0902931075907545	0.859261857438833	0	11	0.0497881401281726	29	2368000	19
