fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220425 212229	0	0	0	1	hist	lossguide	256	0	1	0.181493143526604	0.658416589079425	3	528	0.0313218044868942	12	7324000	1
20220425 213341	0	0	0	1	hist	lossguide	256	0	1	0.0536330773645313	0.880759228011593	1	503	0.0183372142482161	15	8898000	2
20220425 213707	0	0	0	1	hist	lossguide	256	0	1	0.0955654723220505	0.315785807594657	7	686	0.0410646940363222	32	7970000	3
20220425 213909	0	0	0	1	hist	lossguide	256	0	1	0.251466441699071	0.549717433126643	6	612	0.0240137509579654	10	10405000	4
20220425 214156	0	0	0	1	hist	lossguide	256	0	1	0.109282289269497	0.851002029078081	7	730	0.0203769323930222	12	11494000	5
20220425 214431	0	0	0	1	hist	lossguide	256	0	1	0.184281694843434	0.215055002756417	4	180	0.0374316967951017	9	7876000	6
20220425 214858	0	0	0	1	hist	lossguide	256	0	1	0.0760422146058408	0.61920391606167	4	218	0.0152108991785402	28	11739000	7
20220425 215208	0	0	0	1	hist	lossguide	256	0	1	0.153594922022661	0.572593577113003	2	884	0.0131783260789234	8	10287000	8
20220425 215336	0	0	0	1	hist	lossguide	256	0	1	0.138524636795628	0.507642140127718	0	618	0.0445993634013576	1	848000	9
20220425 215541	0	0	0	1	hist	lossguide	256	0	1	0.168970729623223	0.964065333772451	3	285	0.0435588603349364	8	5684000	10
20220425 215757	0	0	0	1	hist	lossguide	256	0	1	0.11261501469987	0.832521641217172	10	995	0.0470937712903833	32	7312000	11
20220425 215929	0	0	0	1	hist	lossguide	256	0	1	0.263793219798827	0.736893668891862	9	337	0.0211942359208479	8	9862000	12
20220425 220103	0	0	0	1	hist	lossguide	256	0	1	0.272389903812669	0.337716644518077	0	422	0.0252550573039722	2	783000	13
20220425 220241	0	0	0	1	hist	lossguide	256	0	1	0.230383307110984	0.414883466511965	8	855	0.0341317814508026	14	9497000	14
20220425 221116	0	0	0	1	hist	lossguide	256	0	1	0.022087464125012	0.362538633737713	5	952	0.028080106213262	140	10309000	15
20220425 221621	0	0	0	1	hist	lossguide	256	0	1	0.0348342830402544	0.706990015162155	1	38	0.0376830199272566	125	8583000	16
20220425 221949	0	0	0	1	hist	lossguide	256	0	1	0.0438403512573568	0.765198669098318	10	393	0.0104531132625804	42	13027000	17
20220425 222129	0	0	0	1	hist	lossguide	256	0	1	0.215914714336628	0.247573423944414	6	123	0.00923017138848081	8	11045000	18
20220425 222257	0	0	0	1	hist	lossguide	256	0	1	0.287603594939224	0.463941524457187	9	98	0.0497015589062357	10	5953000	19
20220425 222448	0	0	0	1	hist	lossguide	256	0	1	0.203424257906852	0.941306146811694	4	795	0.030495491780069	10	8535000	20
20220425 223453	0	0	0	1	hist	lossguide	256	0	1	0.0109622531907939	0.638671514871169	6	547	0.00833531816131795	32	12488000	21
20220425 223635	0	0	0	1	hist	lossguide	256	0	1	0.131305466925783	0.519891447268315	10	950	0.00833508561203586	4	11438000	22
20220425 224454	0	0	0	1	hist	lossguide	256	0	1	0.0101623997911851	0.801163613197198	9	2	0.00833751126941327	921	10237000	23
20220425 224650	0	0	0	1	hist	lossguide	256	0	1	0.160265302482268	0.55719354707471	5	989	0.00833551702429795	3	11220000	24
20220425 225131	0	0	0	1	hist	lossguide	256	0	1	0.0263333633781679	0.326457553356642	10	498	0.0107362726772498	71	13074000	25
20220425 230135	0	0	0	1	hist	lossguide	256	0	1	0.0100580991201044	0.668699520661216	10	580	0.0106823120370621	140	13103000	26
20220425 230456	0	0	0	1	hist	lossguide	256	0	1	0.0509009103921846	0.558720768073081	10	491	0.0126948993183914	60	13364000	27
20220425 230659	0	0	0	1	hist	lossguide	256	0	1	0.0831697559451245	0.559501533557568	10	517	0.00833570586273663	5	12438000	28
20220425 232000	0	0	0	1	hist	lossguide	256	0	1	0.0100026650171516	0.609820255445583	9	453	0.0161669857487634	319	13224000	29
20220425 233058	0	0	0	1	hist	lossguide	256	0	1	0.0102083571913533	0.540339547337824	10	424	0.0165997686403371	215	13395000	30
20220425 233509	0	0	0	1	hist	lossguide	256	0	1	0.0320162870541685	0.713134202969864	10	540	0.0157474990973795	62	13585000	31
20220425 234110	0	0	0	1	hist	lossguide	256	0	1	0.0336559164476004	0.200244339101821	10	756	0.0170173129734679	176	12965000	32
20220425 234653	0	0	0	1	hist	lossguide	256	0	1	0.0307904643483635	0.200823645903482	7	420	0.0146945735540331	96	13152000	33
20220425 235133	0	0	0	1	hist	lossguide	256	0	1	0.032158026877909	0.999798922946395	10	578	0.0154399524822651	82	13048000	34
20220425 235749	0	0	0	1	hist	lossguide	256	0	1	0.0242518894185104	0.716433331585187	10	480	0.0152586136059982	132	13168000	35
20220426 000216	0	0	0	1	hist	lossguide	256	0	1	0.0413273556881187	0.486966206971186	10	580	0.0176489199722358	92	13292000	36
20220426 000633	0	0	0	1	hist	lossguide	256	0	1	0.0367110966758831	0.686053317189518	10	870	0.0134450199489318	58	13657000	37
20220426 000846	0	0	0	1	hist	lossguide	256	0	1	0.199282255910785	0.787525609505579	8	672	0.0106200032196102	8	11408000	38
20220426 001555	0	0	0	1	hist	lossguide	256	0	1	0.0381270192437575	0.200090840594607	10	263	0.0156130584779271	146	13194000	39
20220426 002213	0	0	0	1	hist	lossguide	256	0	1	0.0385276479289842	0.66453864754705	8	717	0.0131366620140986	61	13013000	40
20220426 005515	0	0	0	1	hist	lossguide	256	0	1	0.0100624705692899	0.200673243155654	5	252	0.0161128997701933	491	13231000	41
20220426 011346	0	0	0	1	hist	lossguide	256	0	1	0.0103968627645261	0.356430110921495	8	323	0.0127535619512963	278	13366000	42
20220426 011708	0	0	0	1	hist	lossguide	256	0	1	0.0495018818345726	0.779544282739807	10	787	0.0152887025051302	37	13037000	43
20220426 011905	0	0	0	1	hist	lossguide	256	0	1	0.141284650455557	0.569731554928483	7	218	0.0143713931052512	8	12386000	44
20220426 013232	0	0	0	1	hist	lossguide	256	0	1	0.0100123229154703	0.531463897634974	9	874	0.0139503233377111	259	13416000	45
